tag #,monitoring date,broodstock,set date,distribution date,total # of live oysters,total # of live oysters greater than or equal to 15mm:,clump (if any noted),Total LIVE oysters LESS than 15 mm,Total DEAD oysters LESS than 15 mm,average of shell heights for each monitoring,shell_height_mm,Live / Dead,Organization,Location,Name of Person(s) Collecting Data:,Notes,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,35,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,42,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,14,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,6,,,,35,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,32,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,42,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,18,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,25,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,41,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,39,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,7,,,,26,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,8,,,,29,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,8,,,,40,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,8,,,,29,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,9,,,,40,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,9,,,,35,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,9,,,,21,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,10,,,,27,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,8/4/2015,MB,7/15/2015,,,,10,,,,30,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
N/A,10/13/2015,MB,7/15/2015,,,,1,,,,55,N/A,Sleepy Hollow Middle School,Tarrytown Marina,,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,1,,,,55,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,1,,,,26,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,2,,,,40,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,2,,,,45,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,2,,,,38,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,3,,,,40,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,3,,,,45,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,3,,,,38,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,4,,,,35,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,4,,,,43,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,5,,,,45,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,5,,,,38,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,6,,,,46,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,6,,,,45,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,7,,,,32,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,7,,,,38,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,7,,,,43,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,8,,,,47,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,8,,,,55,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,9,,,,54,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,9,,,,38,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,9,,,,45,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
205,10/13/2015,MB,7/15/2015,,,,10,,,,42,N/A,I.S. 288,"West 22nd Street, Coney Island, Coney Island Creek ",,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,18,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,27,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,19,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,1,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,13,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,19,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,35,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,2,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,16,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,28,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,24,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,35,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,3,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,21,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,32,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,26,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,4,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,21,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,19,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,14,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,19,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,18,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,5,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,21,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,19,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,18,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,12,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,16,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,13,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,6,,,,14,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,13,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,16,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,14,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,13,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,18,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,11,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,14,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,7,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,12,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,18,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,12,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,8,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,8,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,9,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,9,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,16,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,12,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,13,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,12,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,24,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,14,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,17,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,16,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,16,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,8,,,,11,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,24,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,35,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,20,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,18,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,15,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,22,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,9,,,,25,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,10,,,,23,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,10,,,,10,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,10,,,,30,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,10,,,,42,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
N/A,5/12/2016,MB,7/6/2015,,,,10,,,,14,N/A,LIC Community Boathouse,Anable Basin,,,,,,,,,,,,,,,,,,,,,
